Ticker,Name,Inception Date,Last Price,Below 52W High %,Below All-Time High %,RSI,Volatility (1M),Volatility (3M),Volatility (6M),Volatility (1Y),Fund Flows/Periodic (M),Fund Flows/Periodic (W),Fund Flows/Periodic (Y),EMA (10D),EMA (20D),EMA (50D),EMA (100D),EMA (150D),EMA (200D),EMA (250D),EMA (300D),EMA (5D),EMA (21D),RSI 10D,Price Chg. % (1M),Price Chg. % (3M),Price Chg. % (1W),Price Chg. % (6M),Price Chg. % (1Y),Price Chg. % (3Y),Price Chg. % (5Y),Price Chg. % (10Y),Classification,All-Time High,All-Time Low,AUM,Class,Rel. Volume,30-Day SEC Yield,SEC Yield,P/E (LTM),P/E (NTM),Div Yield (Ind)
EEM,iShares MSCI EM ETF,Apr-07-2003,57.3100,-0.1311,-0.1311,48.98,31.93,25.81,21.53,19.02,-2324.48,0.00,3815.88,56.8021,57.2329,57.8370,56.9676,55.6721,54.4132,53.2626,52.2634,56.8991,57.2811,50.85,-0.0002,0.0081,0.0092,0.0601,0.4669,0.4549,0.0698,0.7467,Global Emerging Markets Equity,65.9600,11.0778,25339.37,Equity/Broad Equity/Strategy,0.9,0.0103,0.0103,17.4,12.2,0.0212
EMB,iShares J.P. Morgan EM Bond ETF,Dec-17-2007,93.9900,-0.0390,-0.2446,43.51,10.53,7.00,5.73,6.63,-3434.68,-298.33,-239.58,93.9186,94.3534,95.2717,95.5187,95.2358,94.8212,94.3701,93.9536,93.8850,94.3998,45.54,-0.0184,-0.0226,0.0006,-0.0112,0.0784,0.0918,-0.1397,-0.1432,Emerging Markets Fixed Income,124.4300,62.9200,13831.59,Fixed Income/Sovereign/Broad Sovereign,0.5,0.0589,0.0589,,,0.0515
EMXC,iShares MSCI EM ex China ETF,Jul-18-2017,79.9300,-0.1006,-0.1006,50.71,35.79,28.57,23.07,19.86,1789.99,305.84,-1253.67,78.8806,79.3802,79.5775,77.3152,74.8893,72.8120,71.0751,69.6688,79.0939,79.4336,52.49,0.0063,0.0548,0.0161,0.1613,0.5759,0.6190,0.3362,,Global Emerging Markets Equity,88.8700,31.1700,18297.38,Equity/Broad Equity/Size and Style,0.6,0.0137,0.0137,18.4,12.1,0.0256
ETHA,iShares Ethereum ETF,Jul-24-2024,15.9500,-0.5666,-0.5666,49.06,57.99,78.71,75.32,74.53,-362.94,2.21,7400.67,15.8950,15.9353,17.0462,19.3703,20.6925,21.4708,21.7695,21.3148,15.9168,15.9482,50.30,0.0683,-0.3264,0.0076,-0.5295,0.3715,,,,Alternative Miscellaneous,36.8000,10.9900,6480.74,Currency/Alternative Currency/Cryptocurrency,0.8,,,,,
EWA,iShares MSCI Australia,Mar-12-1996,28.5400,-0.0562,-0.1806,54.14,27.35,22.20,18.39,19.03,-34.82,0.00,-340.30,28.0122,28.1086,28.1201,27.7185,27.3684,27.0760,26.8131,26.5921,28.1539,28.1205,57.37,0.0074,0.0864,0.0281,0.0516,0.3688,0.2360,0.1276,0.5502,Australia & New Zealand Equity,34.8300,7.3750,1352.37,Equity/Broad Equity/Strategy,1.9,0.0366,0.0366,21.1,17.1,0.0295
EWC,iShares MSCI Canada ETF,Mar-12-1996,55.7200,-0.0521,-0.0521,54.06,19.14,18.28,16.33,15.43,485.63,70.00,1139.72,54.9658,55.0831,55.2084,54.2260,52.9473,51.7086,50.5569,49.5058,55.2419,55.1029,57.69,-0.0112,0.0317,0.0170,0.0938,0.4745,0.6151,0.6058,1.4205,Canadian Equity Large Cap,58.7800,8.0000,4809.52,Equity/Broad Equity/Strategy,0.9,0.0137,0.0137,19.8,16.9,0.0140
EWG,iShares MSCI Germany,Mar-12-1996,40.1100,-0.1017,-0.1017,48.02,27.39,21.41,17.59,18.66,-223.84,-35.82,-808.08,39.7103,40.0418,41.1258,41.5638,41.4245,41.0348,40.5174,39.9636,39.8869,40.0903,51.24,-0.0174,-0.0728,0.0111,-0.0466,0.1955,0.4034,0.1656,0.6305,Europe Equity Large Cap,44.6500,8.0700,1372.38,Equity/Broad Equity/Strategy,1.1,0.0155,0.0155,18.2,14.5,0.0169
EWH,iShares HK ETF,Mar-12-1996,23.2500,-0.0420,-0.1747,54.47,21.50,17.36,17.89,17.05,20.59,20.59,73.05,23.0021,22.9860,22.9719,22.6229,22.1709,21.7165,21.2830,20.8958,23.1329,22.9895,57.17,0.0035,0.0539,0.0069,0.0859,0.4828,0.1135,-0.1200,0.2065,Greater China Equity,28.1700,5.3125,835.69,Equity/Broad Equity/Asia-Pacific,1.0,0.0267,0.0267,19.8,14.1,0.0475
EWJ,iShares Japan ETF,Mar-12-1996,85.5100,-0.0930,-0.0930,50.91,28.49,25.18,21.06,20.87,-60.02,244.77,1601.99,84.6369,84.9011,85.6372,84.7399,83.3042,81.8822,80.5859,79.4689,85.1019,84.9523,53.16,0.0087,0.0312,0.0127,0.0433,0.3945,0.4792,0.2371,0.9416,Japan Equity,94.2800,24.7600,18769.86,Equity/Broad Equity/Strategy,2.3,0.0112,0.0112,18.7,12.4,0.0194
EWQ,iShares MSCI France,Mar-12-1996,44.0200,-0.0903,-0.0903,51.39,24.90,19.99,16.53,17.94,60.46,0.00,-78.02,43.4272,43.5977,44.3835,44.5655,44.2970,43.9193,43.5367,43.2298,43.7166,43.6326,55.17,-0.0027,-0.0304,0.0148,0.0053,0.2238,0.1527,0.2296,0.8836,Europe Equity Large Cap,48.3900,12.0100,411.18,Equity/Broad Equity/Strategy,1.5,0.0195,0.0195,18.8,14.6,0.0269
