Ticker,Name,Inception Date,Last Price,Below 52W High %,Below All-Time High %,RSI,Volatility (1M),Volatility (3M),Volatility (6M),Volatility (1Y),Fund Flows/Periodic (M),Fund Flows/Periodic (W),Fund Flows/Periodic (Y),EMA (10D),EMA (20D),EMA (50D),EMA (100D),EMA (150D),EMA (200D),EMA (250D),EMA (300D),EMA (5D),EMA (21D),RSI 10D,Price Chg. % (1M),Price Chg. % (3M),Price Chg. % (1W),Price Chg. % (6M),Price Chg. % (1Y),Price Chg. % (3Y),Price Chg. % (5Y),Price Chg. % (10Y),Classification,All-Time High,All-Time Low,AUM,Class,Rel. Volume,30-Day SEC Yield,SEC Yield,P/E (LTM),P/E (NTM),Div Yield (Ind)
ITB,iShares U.S. Home ETF,May-01-2006,88.8490,-0.2470,-0.3160,35.20,26.88,29.93,27.12,29.71,80.07,17.79,-70.01,90.5430,92.6833,97.4929,99.9839,100.7957,101.2465,101.4709,101.7167,90.0424,92.9163,35.76,-0.0973,-0.0801,-0.0188,-0.1435,0.0013,0.3084,0.2755,2.2895,Consumer Goods & Services Sector Equity,129.8900,58.6800,2424.57,Equity/Sector/Consumer Discretionary,0.8,0.0057,0.0057,14.9,14.8,0.0128
IWM,iShares Russell 2000 ETF,May-22-2000,252.9100,-0.0688,-0.0688,52.24,23.26,20.86,20.57,21.78,274.53,-2572.63,-7361.94,249.4983,250.2156,253.1587,251.5853,247.7580,243.8944,240.3193,236.9313,250.7575,250.3614,55.53,0.0081,-0.0101,0.0198,0.0358,0.4086,0.4544,0.1460,1.3271,US Equity Small Cap,271.5950,32.3000,70575.52,Equity/Size and Style/Small Cap,0.9,0.0103,0.0103,198.5,25.4,0.0098
LQD,iShares iBoxx IG Corporate Bond ETF,Jul-22-2002,109.0700,-0.0342,-0.2175,48.83,9.21,6.24,5.39,6.36,628.46,1890.86,994.51,108.7816,108.9976,109.6895,110.0909,110.1129,110.0153,109.8652,109.7496,108.8873,109.0277,51.27,-0.0099,-0.0134,0.0007,-0.0209,0.0226,-0.0114,-0.1647,-0.0871,US Fixed Income,139.3800,76.0500,30804.97,Fixed Income/Corporate/Investment Grade,1.3,0.0515,0.0517,,,0.0453
MBB,iShares MBS ETF,Mar-13-2007,94.8390,-0.0219,-0.1773,47.73,6.85,4.96,4.27,4.86,-228.97,0.00,1382.48,94.7255,94.8941,95.2354,95.2531,95.0717,94.8542,94.6297,94.4525,94.7426,94.9129,49.35,-0.0073,-0.0052,-0.0012,-0.0027,0.0179,-0.0068,-0.1248,-0.1328,US Fixed Income,115.2800,85.2800,38676.87,Fixed Income/U.S. Government/Agency MBS,0.4,0.0410,0.0411,,,0.0423
MLPX,Global X MLP & Energy ETF,Aug-06-2013,74.0610,-0.0306,-0.0306,59.60,14.30,14.28,14.93,16.16,28.54,15.33,82.43,73.7792,73.2705,70.5874,67.4232,65.6810,64.4851,63.4549,62.4044,73.7321,73.1943,57.03,0.0196,0.2500,0.0016,0.1961,0.3115,0.8350,1.3094,1.2121,Energy Sector Equity,76.4000,13.2903,3282.80,Equity/Sector/Energy,0.9,,0.0422,20.2,18.9,0.0405
MTUM,iShares USA Momentum ETF,Apr-16-2013,249.1060,-0.0496,-0.0496,54.16,27.35,24.42,21.00,21.19,16.48,-25.39,3865.20,244.3089,244.7979,247.7022,248.7057,247.0145,244.0942,240.5739,236.7312,245.7883,244.9098,57.46,0.0316,-0.0287,0.0380,-0.0212,0.3634,0.7534,0.4948,2.4143,US Equity Large Cap Blend,262.0995,132.0500,20833.74,Equity/Broad Equity/Strategy,1.1,0.0057,0.0057,32.1,20.1,0.0079
PALL,abrdn Palladium ETF,Dec-30-2009,133.1500,-0.3255,-0.5535,43.02,49.12,57.94,61.08,48.66,-160.08,0.00,-139.31,133.4340,136.5711,144.0164,143.1606,138.0749,132.9312,128.4181,124.7217,133.7204,136.9470,44.52,-0.0985,-0.1692,-0.0116,0.0829,0.6038,-0.0173,-0.4584,1.5769,Commodities Specified,298.2100,38.4900,797.74,Commodities/Precious Metals/Palladium,0.8,,,,,
PFF,iShares Preferred Income ETF,Mar-26-2007,30.4450,-0.0564,-0.3980,41.82,9.00,7.59,7.27,7.87,-286.39,57.59,-552.90,30.4385,30.5982,30.9379,31.1043,31.1543,31.1850,31.2014,31.2226,30.4205,30.6151,43.75,-0.0217,-0.0307,0.0041,-0.0411,0.0466,-0.0204,-0.2117,-0.2051,US Fixed Income,50.5700,14.1000,13481.39,Equity/Strategy/Preferred Stock,1.0,0.0631,0.0631,21.7,11.1,0.0640
PPLT,abrdn Platinum ETF,Dec-30-2009,177.8350,-0.3203,-0.3203,45.16,44.49,66.75,61.86,49.06,-281.19,0.00,-97.57,177.7107,180.8856,186.8173,181.0750,171.4150,162.4051,154.6847,148.2420,177.9553,181.2469,46.09,-0.0805,-0.1509,-0.0022,0.2033,1.1321,0.9046,0.5457,0.9321,Commodities Specified,261.6200,55.0000,2398.96,Commodities/Precious Metals/Platinum,1.1,,,,,
QQQ,QQQ Trust,Mar-10-1999,588.5900,-0.0760,-0.0760,48.81,21.76,18.43,18.20,21.17,-1023.41,-1311.02,9014.63,583.3822,587.3894,597.4833,600.4709,595.0739,586.8285,577.7067,568.1302,584.4682,587.8435,51.55,-0.0186,-0.0568,0.0198,-0.0263,0.3892,0.8506,0.7749,4.3959,US Equity Large Cap Growth,637.0100,19.7600,375546.55,Equity/Size and Style/Large Cap,0.8,0.0047,0.0053,34.3,22.5,0.0048
RSP,Invesco S&P 500 Equal Weight ETF,Apr-24-2003,193.4900,-0.0573,-0.0573,46.98,14.41,12.94,12.63,15.49,214.14,168.57,5464.48,192.5760,193.6726,195.6604,194.7358,192.8312,190.8698,188.9103,186.9749,192.8599,193.7997,49.76,-0.0235,-0.0067,0.0082,0.0165,0.2414,0.3522,0.3434,1.5034,US Equity Large Cap Blend,205.2400,20.1900,85641.16,Equity/Size and Style/Large Cap,0.8,0.0169,0.0169,27.5,17.0,0.0145
SCHF,Schwab Intl Equity ETF,Nov-03-2009,25.1400,-0.0747,-0.0747,51.54,25.91,20.62,16.75,16.35,964.45,400.87,4312.29,24.8340,24.9264,25.1268,24.8092,24.3440,23.8869,23.4658,23.1043,24.9662,24.9417,54.43,0.0000,0.0211,0.0158,0.0671,0.4084,0.4374,0.3101,0.9132,Global Equity Large Cap,27.1700,10.7550,58794.88,Equity/Broad Equity/Size and Style,1.6,0.0258,0.0232,19.1,13.7,0.0327
SHV,iShares Short Treasury ETF,Jan-05-2007,110.1400,-0.0033,-0.0252,39.71,0.17,0.15,0.16,0.20,1193.75,303.49,1051.06,110.2126,110.2335,110.2438,110.2529,110.2592,110.2635,110.2657,110.2696,110.1719,110.2343,37.06,-0.0002,-0.0006,-0.0023,-0.0005,-0.0004,-0.0005,-0.0034,-0.0021,US Fixed Income,112.9900,108.6800,21197.49,Fixed Income/U.S. Government/Treasury,0.4,0.0351,0.0353,,,0.0393
SHY,iShares 1-3 Year Treasury ETF,Jul-22-2002,82.3550,-0.0102,-0.0512,43.24,2.02,1.52,1.31,1.45,692.33,610.06,2347.88,82.3894,82.4735,82.6376,82.7250,82.7332,82.7095,82.6655,82.6223,82.3566,82.4816,44.05,-0.0045,-0.0065,-0.0026,-0.0055,-0.0041,0.0001,-0.0450,-0.0316,US Fixed Income,86.8000,79.2600,25274.65,Fixed Income/U.S. Government/Treasury,0.4,0.0363,0.0367,,,0.0383
SLV,Silver Trust ETF,Apr-21-2006,65.9400,-0.3996,-0.3996,44.53,59.85,97.70,77.30,57.32,-1471.07,-38.61,1342.58,66.1155,67.8762,70.2856,66.4638,61.4770,57.2085,53.6904,50.7926,65.9918,68.0592,44.91,-0.1317,-0.0707,-0.0323,0.5197,1.4296,1.8807,1.8264,3.5539,Commodities Specified,109.8300,8.4500,34836.48,Commodities/Precious Metals/Silver,0.9,,,,,
SPY,SPDR S&P 500 ETF,Jan-22-1993,659.2200,-0.0553,-0.0553,48.19,17.91,14.28,13.51,17.45,2226.39,-864.16,-20534.00,654.1354,658.3592,668.8815,670.7624,664.9693,656.8538,647.9243,638.5957,655.3640,658.8607,51.42,-0.0196,-0.0440,0.0137,-0.0148,0.3070,0.6110,0.6213,2.2323,US Equity Large Cap Blend,697.8400,42.8125,659024.20,Equity/Size and Style/Large Cap,0.9,,0.0110,27.7,20.5,0.0110
TIP,iShares TIPS ETF,Dec-04-2003,110.8760,-0.0123,-0.1560,53.42,5.15,3.75,3.38,3.96,-252.55,44.12,-518.12,110.5474,110.6198,110.7216,110.6961,110.5877,110.4251,110.2216,110.0326,110.6527,110.6286,56.33,-0.0050,0.0057,0.0047,-0.0026,0.0147,-0.0025,-0.1155,-0.0366,US Fixed Income,131.3700,84.1400,13987.17,Fixed Income/U.S. Government/TIPS,0.7,0.0584,0.0594,,,0.0370
TLT,iShares 20+ Year Treasury ETF,Jul-22-2002,86.6400,-0.0602,-0.5179,45.98,13.01,10.46,9.33,10.97,-2247.38,-536.93,-6400.68,86.6129,86.9424,87.5867,87.9768,88.1688,88.3562,88.5527,88.8485,86.5945,86.9764,46.92,-0.0206,-0.0131,-0.0006,-0.0285,-0.0379,-0.2017,-0.3670,-0.3478,US Fixed Income,179.7000,80.5100,42059.32,Fixed Income/U.S. Government/Treasury,0.6,0.0484,0.0485,,,0.0446
UNG,US Natural Gas ETF,Apr-18-2007,11.5500,-0.4380,-0.9986,43.80,43.94,90.68,75.21,63.78,1.49,6.56,107.55,11.6811,11.8864,12.2167,12.6236,13.0364,13.4393,13.8231,14.1684,11.5294,11.9015,42.47,-0.0941,-0.0195,-0.0153,-0.1618,-0.3943,-0.5495,-0.6878,-0.8946,Commodities Specified,8177.9200,9.9500,446.46,Commodities/Energy/Natural Gas,1.3,,,,,
URA,Global X Uranium ETF,Nov-04-2010,47.9500,-0.2301,-0.6435,45.24,45.84,55.47,54.56,48.86,-108.38,-4.93,1445.39,48.2494,48.9157,50.1303,49.4900,47.8420,46.0699,44.4455,43.0211,48.2403,48.9898,45.45,-0.0170,-0.0377,-0.0099,-0.0637,1.3379,1.5144,1.3939,2.3815,Natural Resources Sector Equity,134.5200,6.9455,6648.15,Equity/Sector/Energy,0.8,,-0.0044,,61.4,0.0435
USMV,iShares MSCI USA Min Vol ETF,Oct-18-2011,93.2100,-0.0496,-0.0496,44.99,10.82,9.00,8.69,10.93,209.15,-9.03,-1166.07,92.9894,93.5083,94.3504,94.4729,94.2716,93.9213,93.4182,92.8261,93.0342,93.5603,47.17,-0.0356,-0.0103,0.0051,-0.0213,0.0812,0.2676,0.3248,1.1242,US Equity Large Cap Blend,98.0700,68.7700,22732.57,Equity/Broad Equity/Volatility,1.1,0.0134,0.0134,24.0,19.4,0.0158
USO,US Oil Fund,Apr-10-2006,138.0800,-0.0409,-0.8552,71.43,73.97,57.35,45.43,39.69,-194.26,-805.61,87.94,128.7495,120.3538,103.6922,91.5458,86.1633,83.1937,81.3527,80.0926,134.0695,119.5983,71.86,0.2695,1.0369,0.0851,0.8863,1.0928,0.9653,2.3793,0.8149,Commodities Specified,953.3600,16.8800,2076.43,Commodities/Energy/Crude Oil,1.2,,,,,
UUP,Invesco DB US Dollar Bull Fund,Feb-20-2007,27.7500,-0.0246,-0.0979,54.87,7.26,7.33,6.01,7.24,283.63,13.90,248.36,27.7762,27.6891,27.5124,27.4957,27.5488,27.6210,27.6950,27.7450,27.7946,27.6796,52.91,0.0102,0.0202,-0.0011,-0.0011,-0.0222,0.0004,0.1145,0.1322,Trading Tools,30.7600,20.8400,584.98,Currency/Basket/Developed Markets Basket,1.5,,,,,0.0334
VGK,Vanguard FTSE Europe ETF,Mar-04-2005,83.5300,-0.0795,-0.0795,50.57,24.12,19.20,15.60,16.02,-986.79,-264.27,3117.21,82.5483,82.9279,84.2162,83.8422,82.7024,81.4516,80.2383,79.1848,83.0451,82.9957,53.88,-0.0085,-0.0195,0.0133,0.0378,0.3259,0.3567,0.2918,0.7716,Europe Equity Large Cap,90.7450,26.4500,29274.09,Equity/Broad Equity/Strategy,1.3,,,18.6,14.8,0.0279
VT,Vanguard Total World ETF,Jun-24-2008,140.1300,-0.0600,-0.0600,49.34,20.61,16.15,14.32,15.76,1459.31,505.97,12395.37,138.8909,139.6794,141.5860,141.2441,139.5376,137.5290,135.4815,133.4934,139.2954,139.7814,52.35,-0.0127,-0.0238,0.0131,0.0102,0.3419,0.5235,0.4106,1.4841,Global Equity Large Cap,149.0700,24.3600,63794.96,Equity/Broad Equity/Strategy,1.0,,,23.6,17.1,0.0179
VYMI,Vanguard Int'l High Div ETF,Feb-25-2016,95.3810,-0.0622,-0.0622,53.51,20.92,17.39,14.03,14.17,101.93,0.02,5933.37,94.1886,94.3360,94.5760,92.7383,90.5925,88.6102,86.8295,85.2946,94.7469,94.3744,56.98,0.0083,0.0521,0.0121,0.1258,0.4410,0.5205,0.4406,0.8296,Global Equity Large Cap,101.7100,39.3300,18145.34,Equity/Strategy/High Dividend Yield,0.9,,,14.7,11.8,0.0359
WEAT,Teucrium Wheat ETF,Sep-16-2011,22.8500,-0.0616,-0.8238,52.39,24.19,25.16,21.78,20.82,138.15,24.30,79.37,22.9672,22.8432,22.2275,21.7478,21.7023,21.8552,22.1019,22.4149,22.9322,22.8234,49.71,-0.0322,0.1251,-0.0305,0.1146,-0.0193,-0.3386,-0.2383,-0.4776,Commodities Specified,129.7000,19.7800,286.25,Commodities/Agriculture/Wheat,1.3,,,,,
XLB,Materials SPDR ETF,Dec-16-1998,50.0800,-0.0750,-0.0750,52.11,18.07,19.42,17.84,19.55,-158.84,106.72,5734.19,49.7422,49.7460,49.7129,48.6398,47.7582,47.1367,46.6638,46.3270,50.0335,49.7617,54.69,0.0044,0.0728,0.0022,0.1201,0.3071,0.2578,0.2637,1.2645,Natural Resources Sector Equity,54.1400,8.2650,6680.56,Equity/Sector/Materials,0.8,,0.0179,46.5,19.3,0.0171
XLE,Energy SPDR ETF,Dec-16-1998,60.1600,-0.0520,-0.0520,59.67,22.11,20.98,20.64,22.19,118.61,-940.57,28747.58,60.0478,59.2547,56.1818,52.6186,50.5514,49.2545,48.3813,47.7534,60.0408,59.1549,56.65,0.0635,0.3330,-0.0180,0.3445,0.5376,0.4159,1.4480,0.9679,Energy Sector Equity,63.4600,9.6900,41538.37,Equity/Sector/Energy,0.8,,0.0253,23.0,16.9,0.0239
XLF,Financial SPDR ETF,Dec-16-1998,49.8800,-0.1174,-0.1174,49.81,15.92,17.54,16.28,17.24,1409.46,642.34,-2038.24,49.4070,49.6109,50.7912,51.7349,51.9216,51.7510,51.3611,50.8064,49.5835,49.6489,54.87,-0.0136,-0.1030,0.0103,-0.0723,0.1313,0.5592,0.4317,1.2704,Financials Sector Equity,56.5150,5.8800,48926.60,Equity/Sector/Financials,0.7,,0.0145,16.9,14.8,0.0147
XLI,Industrial SPDR ETF,Dec-16-1998,164.2800,-0.0838,-0.0838,47.34,21.43,18.36,16.71,17.61,-128.12,-316.97,3540.71,163.3672,164.6804,165.9708,163.3879,160.2937,157.3853,154.6356,152.0311,163.5816,164.8144,49.17,-0.0333,0.0334,0.0158,0.0650,0.3994,0.6803,0.6544,2.0143,Industrials Sector Equity,179.3050,15.1400,28506.11,Equity/Sector/Industrials,0.9,,0.0110,30.0,25.8,0.0130
XLK,Tech Sector SPDR ETF,Dec-16-1998,137.4300,-0.1017,-0.1017,51.56,27.47,25.16,23.47,25.39,596.68,415.39,96539.98,135.2469,136.0117,138.4621,139.4295,138.1267,136.0696,133.8345,131.5723,135.7507,136.1096,54.60,0.0010,-0.0621,0.0341,-0.0379,0.4982,0.8438,0.9857,5.2625,Technology Sector Equity,152.9950,5.7000,87043.18,Equity/Sector/Information Technology,0.7,,0.0056,35.1,20.4,0.0055
XLP,Consumer Staples SPDR ETF,Dec-16-1998,81.2600,-0.0985,-0.0985,37.44,12.40,14.97,13.35,13.22,-1854.55,-983.20,-1944.21,81.9764,82.7879,83.5141,82.6971,82.0642,81.6253,81.2231,80.8559,81.7900,82.8618,36.53,-0.0527,0.0606,-0.0088,0.0394,0.0478,0.0783,0.1782,0.5297,Consumer Goods & Services Sector Equity,90.1400,17.8200,14619.07,Equity/Sector/Consumer Staples,0.9,,0.0268,30.9,19.5,0.0260
XLRE,Real Estate SPDR ETF,Oct-07-2015,41.7200,-0.0533,-0.2003,51.51,16.82,14.97,13.76,15.39,115.00,45.61,216.77,41.2303,41.4567,41.7717,41.7194,41.6680,41.6200,41.5217,41.4116,41.3958,41.4820,55.72,-0.0273,0.0394,0.0218,0.0046,0.0973,0.1245,0.0306,0.3153,Real Estate Sector Equity,52.1700,24.8800,7516.46,Real Estate/Sector/Real Estate,0.7,,0.0347,36.9,35.5,0.0335
XLU,Utilities SPDR ETF,Dec-16-1998,46.2700,-0.0320,-0.0320,54.12,17.23,15.63,14.59,14.73,521.44,141.87,25215.61,46.0196,46.0163,45.5741,44.8456,44.2351,43.6424,43.0226,42.4087,46.1292,46.0117,55.17,-0.0101,0.1051,0.0083,0.0262,0.2609,0.3256,0.4250,0.9045,Utilities Sector Equity,47.8000,7.4500,24704.12,Equity/Sector/Utilities,0.7,,0.0258,22.7,19.3,0.0249
XLV,Health Care SPDR ETF,Dec-16-1998,146.5700,-0.0873,-0.0873,41.90,15.16,14.47,13.98,16.81,-159.98,-62.19,458.73,146.4915,147.9109,150.9150,150.9345,149.5793,148.3610,147.3729,146.7302,146.4053,148.0664,43.98,-0.0401,-0.0820,-0.0003,0.0162,0.0900,0.0977,0.2582,1.1077,Healthcare Sector Equity,160.5900,21.0000,38454.80,Equity/Sector/Health Care,0.9,,0.0169,28.3,17.7,0.0167
XLY,Consumer Discretionary SPDR ETF,Dec-16-1998,107.7700,-0.1379,-0.1379,40.63,24.52,19.89,19.30,22.44,-601.61,-478.46,23085.31,108.7356,110.0959,113.4034,115.2728,115.1895,114.3973,113.2727,111.7989,108.3509,110.2381,41.37,-0.0583,-0.1086,-0.0111,-0.0855,0.1933,0.4872,0.2423,1.7637,Consumer Goods & Services Sector Equity,125.0100,7.9250,20977.74,Equity/Sector/Consumer Discretionary,1.0,,0.0079,35.5,25.2,0.0086
XME,SPDR S&P Metals ETF,Jun-19-2006,109.8000,-0.1907,-0.1907,49.05,35.26,40.01,39.74,34.35,268.57,13.79,1430.93,108.5998,109.3899,111.6162,108.6142,103.6307,98.8976,94.7985,91.3222,109.3167,109.5219,51.59,-0.0031,-0.0383,0.0166,0.1094,1.2182,1.1379,1.7436,4.5204,Natural Resources Sector Equity,135.6764,11.3800,4487.73,Equity/Sector/Materials,1.0,,0.0028,,19.4,0.0030
XOP,SPDR S&P Oil & Gas ETF,Jun-19-2006,180.3400,-0.0526,-0.4635,62.52,28.70,28.21,27.80,30.21,264.11,11.04,619.68,179.0988,174.8960,162.3026,150.9310,145.2126,141.9991,140.1734,139.1050,179.6767,174.4142,59.93,0.0988,0.4548,-0.0082,0.3485,0.6973,0.3851,1.2044,0.4889,Energy Sector Equity,336.1600,29.4800,3500.16,Equity/Sector/Energy,1.2,,0.0168,31.5,12.3,0.0179
